timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1615701652364,255,Open_Computers_Page-0,301,Moved Permanently,Thread Group 1-2,,true,,1403,451,10,10,http://demo.nopcommerce.com/computers,255,0,0
1615701652619,539,Open_Computers_Page-1,200,OK,Thread Group 1-2,text,true,,6299,718,10,10,https://demo.nopcommerce.com/computers,538,0,0
1615701652364,794,Open_Computers_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,7702,1169,10,10,null,255,4,0
1615701652441,755,Open_Main_Page,200,OK,Thread Group 1-4,text,true,,8779,1072,10,10,https://demo.nopcommerce.com/,249,0,0
1615701652441,249,Open_Main_Page-0,301,Moved Permanently,Thread Group 1-4,,true,,1390,403,10,10,http://demo.nopcommerce.com/,249,0,0
1615701652690,506,Open_Main_Page-1,200,OK,Thread Group 1-4,text,true,,7389,669,10,10,https://demo.nopcommerce.com/,506,0,0
1615701652441,755,Open_Main_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,8779,1072,10,10,null,249,1,0
1615701652479,781,Open_Computers_Page,200,OK,Thread Group 1-1,text,true,,7729,1167,10,10,https://demo.nopcommerce.com/computers,270,0,0
1615701652479,270,Open_Computers_Page-0,301,Moved Permanently,Thread Group 1-1,,true,,1403,451,10,10,http://demo.nopcommerce.com/computers,270,0,0
1615701652749,511,Open_Computers_Page-1,200,OK,Thread Group 1-1,text,true,,6326,716,10,10,https://demo.nopcommerce.com/computers,510,0,0
1615701652479,781,Open_Computers_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,7729,1167,10,10,null,270,5,0
1615701652518,769,Open_Computers_Page,200,OK,Thread Group 1-9,text,true,,7720,1169,10,10,https://demo.nopcommerce.com/computers,291,0,0
1615701652518,291,Open_Computers_Page-0,301,Moved Permanently,Thread Group 1-9,,true,,1397,451,10,10,http://demo.nopcommerce.com/computers,291,0,0
1615701652809,478,Open_Computers_Page-1,200,OK,Thread Group 1-9,text,true,,6323,718,10,10,https://demo.nopcommerce.com/computers,478,0,0
1615701652518,769,Open_Computers_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,7720,1169,10,10,null,291,3,0
1615701652527,790,Open_Computers_Page,200,OK,Thread Group 1-8,text,true,,7726,1168,10,10,https://demo.nopcommerce.com/computers,279,0,0
1615701652527,279,Open_Computers_Page-0,301,Moved Permanently,Thread Group 1-8,,true,,1399,451,10,10,http://demo.nopcommerce.com/computers,279,0,0
1615701652806,511,Open_Computers_Page-1,200,OK,Thread Group 1-8,text,true,,6327,717,10,10,https://demo.nopcommerce.com/computers,511,0,0
1615701652527,790,Open_Computers_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,7726,1168,10,10,null,279,3,0
1615701652520,846,Open_Item_Page,200,OK,Thread Group 1-5,text,true,,12385,1222,10,10,https://demo.nopcommerce.com/sound-forge-pro-11-recurring,287,0,0
1615701652520,287,Open_Item_Page-0,301,Moved Permanently,Thread Group 1-5,,true,,1426,478,10,10,http://demo.nopcommerce.com/sound-forge-pro-11-recurring,287,0,0
1615701652807,559,Open_Item_Page-1,200,OK,Thread Group 1-5,text,true,,10959,744,10,10,https://demo.nopcommerce.com/sound-forge-pro-11-recurring,558,0,0
1615701652520,846,Open_Item_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,12385,1222,10,10,null,287,0,0
1615701652823,698,Open_Main_Page,200,OK,Thread Group 1-6,text,true,,8795,1073,10,10,https://demo.nopcommerce.com/,287,0,0
1615701652823,287,Open_Main_Page-0,301,Moved Permanently,Thread Group 1-6,,true,,1394,403,10,10,http://demo.nopcommerce.com/,287,0,0
1615701653110,411,Open_Main_Page-1,200,OK,Thread Group 1-6,text,true,,7401,670,10,10,https://demo.nopcommerce.com/,411,0,0
1615701652822,698,Open_Main_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,8795,1073,10,10,null,287,2,0
1615701652908,756,Open_Category_Page,200,OK,Thread Group 1-7,text,true,,8527,1184,10,10,https://demo.nopcommerce.com/software,287,0,0
1615701652908,287,Open_Category_Page-0,301,Moved Permanently,Thread Group 1-7,,true,,1402,459,10,10,http://demo.nopcommerce.com/software,287,0,0
1615701653195,469,Open_Category_Page-1,200,OK,Thread Group 1-7,text,true,,7125,725,10,10,https://demo.nopcommerce.com/software,469,0,0
1615701652908,756,Open_Category_Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,8527,1184,10,10,null,287,3,0
1615701653159,766,Open_Main_Page,200,OK,Thread Group 1-3,text,true,,8785,1071,10,10,https://demo.nopcommerce.com/,253,0,0
1615701653159,253,Open_Main_Page-0,301,Moved Permanently,Thread Group 1-3,,true,,1394,403,10,10,http://demo.nopcommerce.com/,253,0,0
1615701653412,513,Open_Main_Page-1,200,OK,Thread Group 1-3,text,true,,7391,668,10,10,https://demo.nopcommerce.com/,512,0,0
